bom_id,module,submodule,item_name,qty,unit,concept_spec_or_class,primary_function,safety_class,notes
BOM-001,Structural & Arrangement,Storage Support,Weather-deck hydrogen storage rack assembly,1,assembly,350-bar rack sized for about 90 kg gross hydrogen,Primary compressed-hydrogen storage structure and restraint,Critical,Near-centerline weather-deck placement preferred
BOM-002,Structural & Arrangement,Storage Support,Storage rack support foundations,1,set,Marine structural support set,Transfer rack loads into vessel structure,Critical,Requires vessel-specific structural validation
BOM-003,Structural & Arrangement,Storage Support,Impact-protection framing for storage zone,1,set,Weather-deck protective frame,Reduce accidental mechanical damage exposure,Important,Keep clear of line-handling interference
BOM-004,Structural & Arrangement,Storage Support,Hydrogen manifold protective cabinet,1,assembly,Weather-resistant enclosure,Protect manifold and local instrumentation,Critical,Hydrogen-bearing enclosure with detector and access provisions
BOM-005,Structural & Arrangement,Venting,Vent / relief mast assembly,1,assembly,High-point discharge mast,Route hydrogen relief and vent discharge upward,Critical,Keep-clear discipline required
BOM-006,Structural & Arrangement,Access,Service platform and anti-slip access hardware,1,set,Marine deck access set,Allow inspection and maintenance at storage/process areas,Important,Must preserve safe access to manual isolation points
BOM-007,Structural & Arrangement,Supports,Pipe, hose, and cable support system,1,set,Marine supports and trays,Support routing and reduce vibration / wear,Important,Routing must remain inspectable
BOM-008,Structural & Arrangement,Penetrations,Protected process and cable penetrations,1,set,Sealed marine penetrations,Support safe routed interfaces between zones,Important,Final details hull-specific

BOM-009,Intake & Water Treatment,Intake,Protected sea chest / recessed intake assembly,1,assembly,Harbor-service intake geometry,Admit seawater while reducing large-debris ingestion,Critical,Serviceable concept required
BOM-010,Intake & Water Treatment,Intake,External coarse debris guard,1,assembly,Marine coarse guard,Reject large debris and floating trash,Important,First passive barrier
BOM-011,Intake & Water Treatment,Primary Filtration,Removable wedge-wire or coarse strainer cassette,1,assembly,Serviceable coarse screen stage,Protect downstream treatment hardware,Critical,Accessible without major teardown
BOM-012,Intake & Water Treatment,Primary Filtration,Strainer differential-pressure transmitters,2,each,Marine DP instrumentation,Detect clogging and service need,Important,Upstream and downstream measurement pair
BOM-013,Intake & Water Treatment,Primary Filtration,Intake isolation valves,2,each,Marine service valves,Allow maintenance and controlled isolation,Important,Manual access required
BOM-014,Intake & Water Treatment,Primary Filtration,Flush / backwash loop hardware,1,set,Service flush path,Support debris clearing and maintenance,Useful,Exact topology may vary
BOM-015,Intake & Water Treatment,Pumping,Pretreatment feed pump,1,each,Seawater-compatible pump,Move intake water into treatment train,Critical,Sized to treatment flow not propulsion
BOM-016,Intake & Water Treatment,Pretreatment,Duplex prefilter housing set,1,set,Marine duplex filtration set,Remove solids load before desalination,Important,Supports service without full downtime
BOM-017,Intake & Water Treatment,Pretreatment,Pretreatment filter elements,1,set,Replaceable consumables set,Reduce suspended solids loading,Important,Consumable BOM line
BOM-018,Intake & Water Treatment,Pretreatment,Automatic strainer or media filtration stage,1,assembly,Intermediate solids reduction stage,Protect RO skid from fouling,Important,Concept-stage choice left open inside bounded class
BOM-019,Intake & Water Treatment,Desalination,RO desalination skid,1,assembly,About 250 gallons/day class concept sizing,Reduce salinity and dissolved solids,Critical,Concept allowance oversized for fouling / reserve margin
BOM-020,Intake & Water Treatment,Desalination,RO high-pressure pump,1,each,RO support pump,Drive desalination stage,Critical,Treat as service-critical
BOM-021,Intake & Water Treatment,Polishing,DI or EDI polishing skid,1,assembly,Electrolyzer-grade finishing path,Bring water quality to final feed standard,Critical,Final vendor path not yet locked
BOM-022,Intake & Water Treatment,Polishing,Product-water conductivity analyzer,1,each,Continuous conductivity monitoring,Hard lockout input for electrolyzer start,Critical,No electrolysis without valid in-spec signal
BOM-023,Intake & Water Treatment,Buffer,Clean-water day tank,1,each,Process-water buffer tank,Provide verified clean-water reserve,Critical,Level-monitored
BOM-024,Intake & Water Treatment,Buffer,Clean-water tank level transmitter,1,each,Level instrumentation,Reserve threshold and low-level lockout,Important,Feeds startup permissives
BOM-025,Intake & Water Treatment,Sampling,Sample points and drain / cleanout hardware,1,set,Service sampling and drain set,Support verification and maintenance,Useful,Needed for maintainability and troubleshooting

